pdf_url,filename,linked_from,captured_at
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/04/AIC-AICTE-Faculty-Development-Programme.pdf,AIC-AICTE-Faculty-Development-Programme.pdf,https://www.mahindrauniversity.edu.in/media-releases/strengthening-the-entrepreneurial-ecosystem-in-academia-aic-mahindra-organised-faculty-development-programme-fdp-to-equip-faculty-to-nurture-innovation-2/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/04/B.Tech-M.Tech-WPP-Application-Form-2024-25-1-1.pdf,B.Tech-M.Tech-WPP-Application-Form-2024-25-1-1.pdf,https://www.mahindrauniversity.edu.in/weekend-working-professionals-program/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/04/ISLD-Conference-Press-Release-.pdf,ISLD-Conference-Press-Release-.pdf,https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-hosts-pmi-pearl-city-chapter-expands-project-management-opportunities-for-students-2/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/Academic-Calendar-2026-2027.pdf,Academic-Calendar-2026-2027.pdf,https://www.mahindrauniversity.edu.in/calendar/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/List-of-All-ECSoE-Publications.pdf,List-of-All-ECSoE-Publications.pdf,https://www.mahindrauniversity.edu.in/research/publications-and-patents/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/06/SoM-Publications.pdf,SoM-Publications.pdf,https://www.mahindrauniversity.edu.in/research/publications-and-patents/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/07/CEE-Open-Programme-Calendar-2026-27.pdf,CEE-Open-Programme-Calendar-2026-27.pdf,https://www.mahindrauniversity.edu.in/executive-education/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/07/Mahindra-University-RISE-Scholars-Program-SoHM.pdf,Mahindra-University-RISE-Scholars-Program-SoHM.pdf,https://www.mahindrauniversity.edu.in/schools/school-of-hospitality-management/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/07/SoH-Admission-Notification-2026-27.pdf,SoH-Admission-Notification-2026-27.pdf,https://www.mahindrauniversity.edu.in/schools/school-of-hospitality-management/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/09/MoU-with-Massey-1.pdf,MoU-with-Massey-1.pdf,https://www.mahindrauniversity.edu.in/media-releases/mahindra-university-and-massey-university-celebrate-new-partnership-with-delegation-visit-to-new-zealand/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/09/Paper_Submission_Steps.pdf,Paper_Submission_Steps.pdf,https://www.mahindrauniversity.edu.in/conference-workshop/icpeev-2026/,2026-09-22
https://www.mahindrauniversity.edu.in/wp-content/uploads/2026/09/SOHM-BROCHURE-2026.pdf,SOHM-BROCHURE-2026.pdf,https://www.mahindrauniversity.edu.in/schools/school-of-hospitality-management/,2026-09-22
